{'voltage': 118.1897323255649, 'addr': 1, 'power': 211.2199753918579, 'current': 1.5698924731182797, 'time': 1534212367}
{'voltage': 118.41400126735915, 'addr': 1, 'power': 212.1294067297919, 'current': 1.5627240143369174, 'time': 1534212369}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 211.06309848606432, 'current': 1.5483870967741933, 'time': 1534212371}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 211.59056866206603, 'current': 1.5770609318996418, 'time': 1534212373}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 213.01496549510514, 'current': 1.5878136200716844, 'time': 1534212375}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 209.3613250949553, 'current': 1.5591397849462367, 'time': 1534212377}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 199.3189295458193, 'current': 1.5878136200716846, 'time': 1534212379}
{'voltage': 117.0683876165937, 'addr': 1, 'power': 197.30794949981276, 'current': 1.5949820788530467, 'time': 1534212381}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 208.7338174717809, 'current': 1.5232974910394266, 'time': 1534212383}
{'voltage': 118.41400126735915, 'addr': 1, 'power': 216.69020488953086, 'current': 1.6021505376344087, 'time': 1534212385}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 199.98167763333868, 'current': 1.5197132616487454, 'time': 1534212387}
{'voltage': 118.41400126735915, 'addr': 1, 'power': 214.81904991173167, 'current': 1.5842293906810034, 'time': 1534212390}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 211.16199914406465, 'current': 1.5734767025089607, 'time': 1534212392}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 206.6796394372225, 'current': 1.5412186379928317, 'time': 1534212394}
{'voltage': 118.86253915094764, 'addr': 1, 'power': 216.2946022575296, 'current': 1.5949820788530464, 'time': 1534212396}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 216.89710051891083, 'current': 1.6379928315412187, 'time': 1534212398}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 210.91304231530523, 'current': 1.5842293906810034, 'time': 1534212400}
{'voltage': 118.41400126735915, 'addr': 1, 'power': 210.63793933558017, 'current': 1.6021505376344087, 'time': 1534212402}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 201.80736104424113, 'current': 1.5519713261648747, 'time': 1534212404}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 206.11351842935855, 'current': 1.6129032258064515, 'time': 1534212406}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 206.3181404803937, 'current': 1.6129032258064515, 'time': 1534212408}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 199.06201519285295, 'current': 1.5878136200716846, 'time': 1534212410}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 199.94075322313168, 'current': 1.5913978494623657, 'time': 1534212412}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 198.05823035360828, 'current': 1.5698924731182795, 'time': 1534212414}
{'voltage': 117.51692550018218, 'addr': 1, 'power': 190.53268603220454, 'current': 1.4408602150537637, 'time': 1534212416}
{'voltage': 118.41400126735915, 'addr': 1, 'power': 205.115417535976, 'current': 1.5053763440860217, 'time': 1534212418}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 210.3730674584069, 'current': 1.5304659498207882, 'time': 1534212420}
{'voltage': 118.63827020915339, 'addr': 1, 'power': 220.1960626972663, 'current': 1.6057347670250897, 'time': 1534212422}
{'voltage': 118.86253915094764, 'addr': 1, 'power': 208.83726528647088, 'current': 1.5448028673835126, 'time': 1534212424}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 213.071804953726, 'current': 1.57347670250896, 'time': 1534212426}
{'voltage': 117.29265655838793, 'addr': 1, 'power': 201.44699887658484, 'current': 1.4874551971326166, 'time': 1534212428}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 202.90663617396885, 'current': 1.5519713261648747, 'time': 1534212430}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 204.9699085219066, 'current': 1.5949820788530467, 'time': 1534212432}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 200.638741774996, 'current': 1.6129032258064513, 'time': 1534212434}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 194.07037393676782, 'current': 1.5627240143369177, 'time': 1534212436}
{'voltage': 117.29265655838793, 'addr': 1, 'power': 209.3158535280586, 'current': 1.6738351254480284, 'time': 1534212438}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 203.87518054886857, 'current': 1.6451612903225807, 'time': 1534212440}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 206.5079842721874, 'current': 1.6308243727598564, 'time': 1534212442}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 209.62847055047345, 'current': 1.6200716845878136, 'time': 1534212444}
{'voltage': 117.29265655838793, 'addr': 1, 'power': 211.46097469641043, 'current': 1.5698924731182795, 'time': 1534212447}
{'voltage': 118.41400126735915, 'addr': 1, 'power': 217.11991119670463, 'current': 1.5949820788530469, 'time': 1534212449}
{'voltage': 117.96546338377067, 'addr': 1, 'power': 210.76753330123572, 'current': 1.6344086021505373, 'time': 1534212451}
{'voltage': 117.74119444197642, 'addr': 1, 'power': 203.5205023270743, 'current': 1.5519713261648744, 'time': 1534212453}
{'voltage': 117.0683876165937, 'addr': 1, 'power': 202.51899106617452, 'current': 1.5089605734767024, 'time': 1534212455}
{'voltage': 118.1897323255649, 'addr': 1, 'power': 216.10134809821858, 'current': 1.5985663082437278, 'time': 1534212457}
